REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2016,Canada,2016A11124,Professional degree,Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008138421,1.30.16.1.1.1.4.2,68200
2016,Canada,2016A11124,Professional degree,Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008139176,1.30.49.1.1.1.4.1,3245
2016,Canada,2016A11124,Professional degree,Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008139177,1.30.49.1.1.1.4.2,88000
2016,Canada,2016A11124,Master's degree,"Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008065214,1.21.1.1.1.1.4.1,37705
2016,Canada,2016A11124,Master's degree,"Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008065215,1.21.1.1.1.1.4.2,63800
2016,Canada,2016A11124,Master's degree,Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071136,1.21.2.1.1.1.4.1,4530
2016,Canada,2016A11124,Master's degree,Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071137,1.21.2.1.1.1.4.2,75900
2016,Canada,2016A11124,Master's degree,"Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071262,1.21.4.1.1.1.4.1,695
2016,Canada,2016A11124,Master's degree,"Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071263,1.21.4.1.1.1.4.2,30600
2016,Canada,2016A11124,Master's degree,Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071388,1.21.7.1.1.1.4.1,1220
2016,Canada,2016A11124,Master's degree,Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071389,1.21.7.1.1.1.4.2,41300
2016,Canada,2016A11124,Master's degree,Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071514,1.21.16.1.1.1.4.1,4615
2016,Canada,2016A11124,Master's degree,Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071515,1.21.16.1.1.1.4.2,54800
2016,Canada,2016A11124,Master's degree,"Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071640,1.21.24.1.1.1.4.1,10675
2016,Canada,2016A11124,Master's degree,"Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071641,1.21.24.1.1.1.4.2,73300
2016,Canada,2016A11124,Master's degree,Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071766,1.21.27.1.1.1.4.1,1795
2016,Canada,2016A11124,Master's degree,Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071767,1.21.27.1.1.1.4.2,51700
2016,Canada,2016A11124,Master's degree,"Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071892,1.21.33.1.1.1.4.1,2010
2016,Canada,2016A11124,Master's degree,"Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071893,1.21.33.1.1.1.4.2,67400
2016,Canada,2016A11124,Master's degree,"Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072018,1.21.38.1.1.1.4.1,5670
2016,Canada,2016A11124,Master's degree,"Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072019,1.21.38.1.1.1.4.2,60000
2016,Canada,2016A11124,Master's degree,"Agriculture, natural resources and conservation [9]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072144,1.21.46.1.1.1.4.1,1035
2016,Canada,2016A11124,Master's degree,"Agriculture, natural resources and conservation [9]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072145,1.21.46.1.1.1.4.2,52000
2016,Canada,2016A11124,Master's degree,Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072270,1.21.49.1.1.1.4.1,5135
2016,Canada,2016A11124,Master's degree,Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072271,1.21.49.1.1.1.4.2,67700
2016,Canada,2016A11124,Master's degree,"Personal, protective and transportation services [11]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072396,1.21.53.1.1.1.4.1,100
2016,Canada,2016A11124,Master's degree,"Personal, protective and transportation services [11]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072397,1.21.53.1.1.1.4.2,81800
2016,Canada,2016A11124,Master's degree,Other instructional programs [12],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072522,1.21.58.1.1.1.4.1,225
2016,Canada,2016A11124,Master's degree,Other instructional programs [12],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072523,1.21.58.1.1.1.4.2,70300
